,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2014,1,23,12,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,23,13,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,23,14,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,24,0,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,24,1,,,250.0,,,240.0,-9999.0,,,360.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,2,,,260.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,24,3,,,270.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,24,4,,,280.0,,,230.0,-9999.0,,,360.0,,,,36.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,5,,,290.0,,,230.0,-9999.0,,,360.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,6,,,280.0,,,230.0,-9999.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,7,,,270.0,,,230.0,-9999.0,,,360.0,,,,62.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,8,,,270.0,,,230.0,-9999.0,,,360.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,11,,,250.0,,,240.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,24,12,,,250.0,,,230.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,13,,,240.0,,,230.0,-9999.0,,,330.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,14,,,240.0,,,230.0,-9999.0,,,180.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,24,23,,,230.0,,,230.0,-9999.0,,,180.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2014,1,25,0,,,240.0,,,230.0,-9999.0,,,180.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2014,1,25,1,,,250.0,,,230.0,-9999.0,,,180.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2014,1,25,2,,,250.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,25,3,,,270.0,,,240.0,-9999.0,,,,60.0,,,,15.0,-9999.0,-9999.0,-9999.0,,
2014,1,25,4,,,280.0,,,240.0,-9999.0,,,,30.0,,,,36.0,-9999.0,-9999.0,-9999.0,,
2014,1,25,5,,,280.0,,,240.0,-9999.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,25,6,,,270.0,,,230.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
