,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,16,,,10137.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,16,,,10130.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,16,,,10128.0,,,-9999.0,,3.0,-9999.0,,,,723403-13963-2017
2017,1,17,,,10143.0,,,-9999.0,,,102.0,,,,723403-13963-2017
2017,1,17,,,10148.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,17,,,10153.0,,,-9999.0,,5.0,-9999.0,,,,723403-13963-2017
2017,1,17,,,10155.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,17,,,10161.0,,,-9999.0,,3.0,-9999.0,,,,723403-13963-2017
2017,1,17,,,10161.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,17,,,10165.0,,,-9999.0,,0.0,,,,,723403-13963-2017
2017,1,17,,,10168.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,17,,,89.0,10180.0,280.0,31.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,17,,,83.0,10177.0,320.0,41.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,17,,,78.0,10190.0,270.0,31.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,17,,94.0,,78.0,,,31.0,,-1.0,-9999.0,,,723403-13963-2017
2017,1,17,,89.0,,72.0,,,21.0,,,0.0,,-1.0,723403-13963-2017
2017,1,17,,89.0,,67.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,17,,83.0,,56.0,,,46.0,,,0.0,,,723403-13963-2017
2017,1,17,,78.0,,50.0,,,46.0,,,0.0,,,723403-13963-2017
2017,1,17,,83.0,,44.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,17,,94.0,,50.0,,,46.0,,,0.0,,,723403-13963-2017
