,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,2,14,,89.0,,67.0,,,270.0,,51.0,-1.0,-9999.0,723815-23161-2017
2017,2,19,,,83.0,10001.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,20,,,78.0,10000.0,,,,-9999.0,,,,723815-23161-2017
2017,2,21,,,78.0,,9997.0,310.0,,41.0,-9999.0,-9999.0,,723815-23161-2017
2017,2,22,,,78.0,,9994.0,300.0,,36.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,5,,,83.0,10028.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,6,,,67.0,10037.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,11,,83.0,,56.0,10053.0,290.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,13,,89.0,,56.0,10064.0,290.0,,36.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,14,,,56.0,10067.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,18,,,61.0,10100.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,22,,,56.0,10103.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,2,,,56.0,10123.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,5,,,67.0,10153.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,6,,,72.0,10157.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,7,,,67.0,10166.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,10,,,67.0,10170.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,14,,78.0,,67.0,10195.0,270.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,22,,,89.0,10192.0,,40.0,,26.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,0,,,89.0,10190.0,-9999.0,,15.0,,,,,723815-23161-2017
2017,2,1,,,78.0,10196.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,2,,,56.0,10214.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,3,,,67.0,10221.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,6,,,94.0,10238.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,7,,,89.0,10241.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,8,,,89.0,10242.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,9,,,89.0,10242.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,10,,,89.0,10241.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,11,,,89.0,10238.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,13,,,94.0,10235.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,14,,,94.0,10237.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,16,,,89.0,10243.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,17,,,89.0,10246.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,20,,,17.0,10145.0,,,,,,,,723815-23161-2017
2017,2,22,,,10144.0,-9999.0,,15.0,-9999.0,,,,,723815-23161-2017
2017,2,23,,,10134.0,,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,0,,,10135.0,,,,,,,,,723815-23161-2017
2017,2,1,,,10130.0,,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,2,,,10128.0,,,,,,,,,723815-23161-2017
2017,2,12,,67.0,,-6.0,10123.0,300.0,,41.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,13,,56.0,,28.0,10132.0,290.0,,57.0,-9999.0,8.0,-9999.0,723815-23161-2017
2017,2,14,,39.0,,28.0,-9999.0,270.0,,46.0,-9999.0,-9999.0,,723815-23161-2017
2017,2,15,,39.0,,28.0,10143.0,240.0,,21.0,-9999.0,3.0,-9999.0,723815-23161-2017
2017,2,16,,50.0,,28.0,10150.0,260.0,,36.0,-9999.0,-9999.0,,723815-23161-2017
2017,2,19,,89.0,,39.0,-9999.0,280.0,,36.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,20,,,44.0,10144.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,21,,,50.0,10132.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,20,,,28.0,10101.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,1,,,44.0,10082.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,2,,,39.0,10084.0,,,,-9999.0,,,,723815-23161-2017
2017,2,3,,,39.0,10086.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,4,,,22.0,10084.0,,,,-9999.0,,-9999.0,,723815-23161-2017
2017,2,5,,94.0,,17.0,10087.0,260.0,,41.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,2,8,,83.0,,-6.0,10095.0,240.0,,72.0,-9999.0,0.0,-9999.0,723815-23161-2017
2017,3,1,,,10187.0,-9999.0,,21.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,18,,,10293.0,-9999.0,,15.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,21,,,10273.0,-9999.0,-9999.0,,,,,,,723815-23161-2017
2017,3,21,,,10254.0,-9999.0,,15.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,23,,,10234.0,-9999.0,,21.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,21,,,10127.0,-9999.0,,15.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,0,,,22.0,10077.0,,,,,,,,723815-23161-2017
2017,3,2,,,17.0,10100.0,,,,,,,,723815-23161-2017
2017,3,22,,,10230.0,-9999.0,,15.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,20,,,10220.0,-9999.0,,15.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,23,,,10192.0,-9999.0,,21.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,21,,,10189.0,-9999.0,,15.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,21,,,10162.0,-9999.0,,26.0,,,0.0,0.0,-9999.0,723815-23161-2017
2017,3,21,,,,0.0,10164.0,,,0.0,,-9999.0,,723815-23161-2017
2017,3,23,,,10152.0,-9999.0,,31.0,,,0.0,0.0,-9999.0,723815-23161-2017
