,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2016,1,20,12,,,222,,,163.0,10206.0,,,360.0,,,,20.0,,,,,6.0,-9999.0,-9999.0,
2016,1,20,15,,,222,,,163.0,10193.0,,,,10.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,20,18,,,225,,,182.0,10178.0,,,110.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,20,21,,,227,,,184.0,10163.0,,,100.0,,,,20.0,,,,,5.0,-9999.0,-9999.0,
2016,1,21,0,,,224,,,190.0,10174.0,,,,80.0,,,,10.0,,,,,7.0,-9999.0,-9999.0
2016,1,21,3,,,254,,,217.0,10169.0,,,290.0,,,,10.0,,,,,8.0,-9999.0,-9999.0,
2016,1,21,9,,,263,,,212.0,10129.0,,,320.0,,,,20.0,,,,,2.0,-9999.0,-9999.0,
2016,1,21,12,,,242,,,218.0,10159.0,,,140.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,
2016,1,21,15,,,231,,,197.0,10168.0,,,,50.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,21,18,,,229,,,191.0,10164.0,,,,30.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,21,21,,,221,,,180.0,10168.0,,,,30.0,,,,20.0,,,,,6.0,-9999.0,-9999.0
2016,1,22,0,,,221,,,176.0,10182.0,,,,20.0,,,,40.0,,,,,2.0,-9999.0,-9999.0
2016,1,22,6,,,259,,,187.0,10148.0,,,,50.0,,,,30.0,,,,,2.0,-9999.0,-9999.0
2016,1,22,9,,,232,,,175.0,10156.0,,,,70.0,,,,20.0,,,,,3.0,-9999.0,-9999.0
2016,1,22,12,,,217,,,174.0,10168.0,,,,90.0,,,,10.0,,,,,7.0,-9999.0,-9999.0
2016,1,22,15,,,226,,,195.0,10173.0,,,340.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,22,18,,,219,,,196.0,10169.0,,,350.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,22,21,,,212,,,195.0,10172.0,,,240.0,,,,10.0,,,,,8.0,-9999.0,-9999.0,
2016,1,23,0,,,197,,,174.0,10198.0,,,,30.0,,,,50.0,,,,,8.0,-9999.0,-9999.0
2016,1,23,3,,,200,,,158.0,10204.0,,,,50.0,,,,90.0,,,,,8.0,-9999.0,-9999.0
2016,1,23,6,,,187,,,141.0,10195.0,,,,40.0,,,,90.0,,,,,7.0,-9999.0,-9999.0
2016,1,23,9,,,179,,,135.0,10205.0,,,,40.0,,,,90.0,,,,,7.0,-9999.0,-9999.0
2016,1,23,12,,,167,,,131.0,10237.0,,,,40.0,,,,60.0,,,,,8.0,-9999.0,-9999.0
2016,1,23,15,,,150,,,120.0,10246.0,,,,30.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,23,18,,,149,,,111.0,10239.0,,,,40.0,,,,90.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,23,21,,,141,,,102.0,10247.0,,,,40.0,,,,90.0,,,,,8.0,-9999.0,-9999.0
2016,1,24,0,,,124,,,100.0,10287.0,,,,10.0,,,,30.0,,,,,8.0,-9999.0,-9999.0
2016,1,24,6,,,127,,,102.0,10279.0,,,350.0,,,,30.0,,,,,8.0,-9999.0,-9999.0,
2016,1,24,9,,,121,,,119.0,10287.0,,,350.0,,,,40.0,,,,,8.0,-9999.0,-9999.0,
2016,1,24,12,,,122,,,106.0,10307.0,,,360.0,,,,20.0,,,,,8.0,-9999.0,-9999.0,
2016,1,24,15,,,124,,,,94.0,10305.0,,,360.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,24,18,,,114,,,,98.0,10299.0,,,350.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,25,12,,,152,,,100.0,10283.0,,,,50.0,,,,70.0,,,,,6.0,-9999.0,-9999.0
2016,1,25,15,,,157,,,100.0,10283.0,,,,50.0,,,,70.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,25,18,,,164,,,105.0,10261.0,,,,50.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,25,21,,,170,,,107.0,10261.0,,,,50.0,,,,70.0,,,,,7.0,-9999.0,-9999.0
2016,1,26,0,,,174,,,113.0,10280.0,,,,60.0,,,,60.0,,,,,4.0,-9999.0,-9999.0
2016,1,26,3,,,196,,,134.0,10272.0,,,,40.0,,,,80.0,,,,,2.0,-9999.0,-9999.0
2016,1,26,6,,,204,,,134.0,10243.0,,,,60.0,,,,70.0,,,,,4.0,-9999.0,-9999.0
2016,1,26,9,,,190,,,148.0,10243.0,,,,60.0,,,,40.0,,,,,8.0,-9999.0,-9999.0
2016,1,26,12,,,192,,,151.0,10251.0,,,,40.0,,,,60.0,,,,,8.0,-9999.0,-9999.0
2016,1,26,15,,,192,,,142.0,10256.0,,,,40.0,,,,50.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,26,18,,,199,,,139.0,10249.0,,,,50.0,,,,40.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,26,21,,,203,,,155.0,10232.0,,,,60.0,,,,40.0,,,,,3.0,-9999.0,-9999.0
2016,1,27,0,,,207,,,157.0,10243.0,,,,70.0,,,,30.0,,,,,8.0,-9999.0,-9999.0
2016,1,27,3,,,220,,,153.0,10253.0,,,,70.0,,,,40.0,,,,,8.0,-9999.0,-9999.0
2016,1,29,0,,,252,,,223.0,10180.0,,,120.0,,,,30.0,,,,,8.0,-9999.0,-9999.0,
2016,1,29,3,,,274,,,234.0,10171.0,,,150.0,,,,30.0,,,,,8.0,-9999.0,-9999.0,
2016,1,29,6,,,229,-9999.0,10155.0,,,360.0,,,,20.0,,,,,8.0,-9999.0,,,,80.0
2016,1,29,9,,,243,,,213.0,10159.0,,,340.0,,,,20.0,,,,,5.0,-9999.0,-9999.0,
2016,1,29,12,,,222,,,206.0,10169.0,,,,80.0,,,,10.0,,,,,5.0,-9999.0,-9999.0
2016,1,29,18,,,225,,,198.0,10173.0,,,260.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,29,21,,,217,,,189.0,10169.0,,,240.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,
2016,1,30,0,,,229,,,192.0,10194.0,,,330.0,,,,20.0,,,,,7.0,-9999.0,-9999.0,
2016,1,30,9,,,237,,,194.0,10185.0,,,100.0,,,,20.0,,,,,7.0,-9999.0,-9999.0,
2016,1,30,12,,,229,,,193.0,10194.0,,,,60.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,1,30,15,,,224,,,182.0,10191.0,,,,50.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,30,18,,,220,,,176.0,10193.0,,,,50.0,,,,90.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,30,21,,,217,,,169.0,10194.0,,,,50.0,,,,70.0,,,,,5.0,-9999.0,-9999.0
2016,1,31,3,,,244,,,175.0,10211.0,,,,50.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
2016,1,31,6,,,249,,,178.0,10175.0,,,,50.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
2016,1,31,9,,,236,,,168.0,10174.0,,,,60.0,,,,50.0,,,,,2.0,-9999.0,-9999.0
2016,1,31,12,,,227,,,180.0,10186.0,,,,60.0,,,,30.0,,,,,1.0,-9999.0,-9999.0
2016,1,31,15,,,228,,,180.0,10182.0,,,,40.0,,,,30.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,31,21,,,220,,,176.0,10177.0,,,240.0,,,,10.0,,,,,5.0,-9999.0,-9999.0,
2016,2,1,0,,,232,,,190.0,10192.0,,,,10.0,,,,30.0,,,,,7.0,-9999.0,-9999.0
2016,2,1,3,,,234,,,188.0,10186.0,,,,40.0,,,,60.0,,,,,4.0,-9999.0,-9999.0
2016,2,1,6,,,234,,,176.0,10160.0,,,,50.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
2016,2,1,9,,,214,,,163.0,10179.0,,,,40.0,,,,70.0,,,,,4.0,-9999.0,-9999.0
2016,2,1,12,,,204,,,152.0,10187.0,,,,50.0,,,100.0,,,,,5.0,-9999.0,-9999.0,
2016,2,1,15,,,197,,,147.0,10199.0,,,,40.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,
2016,2,1,18,,,192,,,146.0,10197.0,,,,50.0,,,,60.0,-9999.0,-9999.0,-9999.0,,,,
2016,2,1,21,,,192,,,131.0,10198.0,,,,40.0,,,,70.0,,,,,3.0,-9999.0,-9999.0
2016,2,2,0,,,195,,,137.0,10212.0,,,,30.0,,,,70.0,,,,,7.0,-9999.0,-9999.0
2016,2,2,3,,,211,,,139.0,10212.0,,,,40.0,,,,70.0,,,,,7.0,-9999.0,-9999.0
2016,2,2,6,,,224,,,146.0,10187.0,,,,40.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,2,2,9,,,205,,,141.0,10190.0,,,,40.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,2,2,12,,,200,,,139.0,10205.0,,,,50.0,,,,50.0,,,,,6.0,-9999.0,-9999.0
2016,2,2,15,,,200,,,135.0,10212.0,,,,40.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,
2016,2,2,18,,,195,,,134.0,10205.0,,,,30.0,,,,40.0,-9999.0,-9999.0,-9999.0,,,,
2016,2,2,21,,,192,,,133.0,10207.0,,,360.0,,,,30.0,,,,,4.0,-9999.0,-9999.0,
2016,2,3,0,,,200,,,137.0,10219.0,,,,40.0,,,,40.0,,,,,3.0,-9999.0,-9999.0
2016,2,3,3,,,230,,,155.0,10213.0,,,,40.0,,,,70.0,,,,,4.0,-9999.0,-9999.0
2016,2,3,9,,,222,,,159.0,10195.0,,,,20.0,,,,30.0,,,,,7.0,-9999.0,-9999.0
2016,2,3,12,,,219,,,161.0,10212.0,,,,30.0,,,,40.0,,,,,3.0,-9999.0,-9999.0
2016,2,3,15,,,212,,,160.0,10214.0,,,,20.0,,,,40.0,-9999.0,-9999.0,-9999.0,,,,
2016,2,3,18,,,210,,,155.0,10202.0,,,,20.0,,,,30.0,-9999.0,-9999.0,-9999.0,,,,
