,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
194,2004,6,11,6,,,278,,,250.0,10074.0,,,,80.0,,,,51.0,,,,,6.0,-9999.0,-9999.0,,,,
195,2004,6,11,18,,,278,,,260.0,10085.0,,,,70.0,,,,51.0,,,,,6.0,-9999.0,,,,,0.0
196,2004,6,12,6,,,278,,,250.0,10060.0,,,,80.0,,,,51.0,,,,,3.0,-9999.0,,,,30.0,
197,2004,6,12,18,,,280,,,260.0,10076.0,,,,70.0,,,,26.0,,,,,7.0,-9999.0,,,,,0.0
198,2004,6,14,6,,,282,,,250.0,10081.0,,,,90.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
199,2004,6,14,18,,,278,,,240.0,10104.0,,,,70.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
200,2004,6,15,6,,,278,,,250.0,10084.0,,,100.0,,,,57.0,,,,,2.0,-9999.0,,,,,0.0,
201,2004,6,15,18,,,282,,,250.0,10098.0,,,110.0,,,,51.0,,,,,2.0,-9999.0,,,,,0.0,
202,2004,6,16,6,,,285,,,250.0,10075.0,,,,70.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
203,2004,6,17,18,,,278,,,260.0,10091.0,,,110.0,,,,51.0,,,,,4.0,-9999.0,,,,41.0,,
204,2004,6,18,6,,,276,,,250.0,10082.0,-9999.0,,,,10.0,,,,,6.0,-9999.0,,,,,0.0,,,
205,2004,6,18,18,,,276,,,260.0,10101.0,,,,70.0,,,,26.0,,,,,3.0,-9999.0,,,,,0.0
206,2004,6,19,6,,,278,,,250.0,10082.0,,,,80.0,,,,51.0,,,,,6.0,-9999.0,,,,,5.0
207,2004,6,20,6,,,282,,,250.0,10086.0,-9999.0,,,,15.0,,,,,6.0,-9999.0,,,,,0.0,,,
208,2004,6,21,6,,,282,,,250.0,10089.0,,,,80.0,,,,21.0,,,,,4.0,-9999.0,,,,,0.0
209,2004,6,22,18,,,290,,,250.0,10083.0,,,,90.0,,,,51.0,,,,,6.0,-9999.0,,,,,0.0
210,2004,6,24,6,,,281,,,250.0,10072.0,,,,80.0,,,,51.0,,,,,4.0,-9999.0,,,,,0.0
211,2004,6,26,6,,,273,,,250.0,10082.0,,,,80.0,,,,77.0,,,,,7.0,-9999.0,,,,,0.0
212,2004,6,28,6,,,296,,,240.0,10078.0,-9999.0,,,,15.0,,,,,3.0,-9999.0,,,,,0.0,,,
213,2004,7,3,6,-9999.0,-9999.0,-9999,-9999.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,,,,,,,,,,,
214,2004,7,10,6,,,274,,,240.0,10077.0,,,,80.0,,,,21.0,,,,,3.0,-9999.0,,,,,0.0
215,2004,7,15,6,,,277,,,240.0,10090.0,,,,,0.0,,,,,0.0,,,,,2.0,-9999.0,-9999.0,,
216,2004,7,16,6,,,255,,,250.0,10076.0,-9999.0,,,,15.0,,,,,7.0,-9999.0,,,211.0,,,,,
217,2004,7,18,6,,,245,,,240.0,10079.0,-9999.0,,,,10.0,,,,,8.0,-9999.0,,,310.0,,,,,
