,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,1,18,11,,,-10.0,,,-90.0,-9999.0,,,140.0,,,,67.0,-9999.0,-9999.0,-9999.0
2010,1,18,12,,,-10.0,,,-90.0,-9999.0,,,140.0,,,,93.0,-9999.0,-9999.0,-9999.0
2010,1,18,13,,,-10.0,,,-90.0,-9999.0,,,140.0,,,,87.0,-9999.0,-9999.0,-9999.0
2010,1,18,14,,,-10.0,,,-80.0,-9999.0,,,150.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,18,15,,,-20.0,,,-80.0,-9999.0,,,140.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,1,18,16,,,-10.0,,,-80.0,-9999.0,,,140.0,,,,77.0,-9999.0,-9999.0,-9999.0
2010,1,18,17,,,-10.0,,,-80.0,-9999.0,,,140.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,18,18,,,-10.0,,,-80.0,-9999.0,,,160.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,1,18,19,,,-10.0,,,-80.0,-9999.0,,,150.0,,,,87.0,-9999.0,-9999.0,-9999.0
2010,1,18,20,,,-10.0,,,-70.0,-9999.0,,,150.0,,,,98.0,-9999.0,-9999.0,-9999.0
2010,1,18,21,,,-10.0,,,-70.0,-9999.0,,,150.0,,,,87.0,-9999.0,-9999.0,-9999.0
2010,1,18,22,,,-10.0,,,-70.0,-9999.0,,,140.0,,,,82.0,-9999.0,-9999.0,-9999.0
2010,1,20,9,,,,,0.0,,,-10.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0
2010,1,20,17,,,,10.0,,,-30.0,-9999.0,-9999.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,20,18,,,,20.0,,,-20.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,
2010,1,20,19,,,,10.0,,,-20.0,-9999.0,-9999.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,21,6,,,,10.0,,,-70.0,-9999.0,,,120.0,,,108.0,-9999.0,-9999.0,-9999.0
2010,1,21,8,,,,20.0,,-110.0,-9999.0,,,150.0,,,,93.0,-9999.0,-9999.0,-9999.0
2010,1,21,9,,,,10.0,,-120.0,-9999.0,,,140.0,,,,82.0,-9999.0,-9999.0,-9999.0
2010,1,21,10,,,,10.0,,-130.0,-9999.0,,,150.0,,,,87.0,-9999.0,-9999.0,-9999.0
2010,1,21,11,,,,10.0,,-120.0,-9999.0,,,160.0,,,,51.0,-9999.0,-9999.0,-9999.0
2010,1,21,12,,,,10.0,,-120.0,-9999.0,,,150.0,,,,77.0,-9999.0,-9999.0,-9999.0
2010,1,21,13,,,,10.0,,-120.0,-9999.0,,,140.0,,,,98.0,-9999.0,-9999.0,-9999.0
2010,1,21,17,,,-10.0,,-100.0,-9999.0,,,,70.0,,,,82.0,-9999.0,-9999.0,-9999.0
2010,1,21,18,,,-10.0,,-100.0,-9999.0,,,130.0,,,,82.0,-9999.0,-9999.0,-9999.0,
2010,1,21,19,,,,,0.0,,-100.0,-9999.0,,,130.0,,,108.0,-9999.0,-9999.0,-9999.0
2010,1,22,13,,,,10.0,,,-90.0,-9999.0,,,,90.0,-9999.0,-9999.0,-9999.0,-9999.0,
2010,1,22,16,,,,,0.0,,,-90.0,-9999.0,-9999.0,,,,26.0,-9999.0,-9999.0,-9999.0
2010,1,22,17,,,-10.0,,-100.0,-9999.0,,,110.0,,,,46.0,-9999.0,-9999.0,-9999.0,
2010,1,22,18,,,-10.0,,-110.0,-9999.0,,,120.0,,,,51.0,-9999.0,-9999.0,-9999.0,
2010,1,22,19,,,-20.0,,-110.0,-9999.0,-9999.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
