,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
186,2013,1,9,9,,,,60.0,,,,40.0,-9999.0,,,250.0,,,108.0,,,,,7.0,-9999.0,-9999.0,
187,2013,1,9,10,,,,60.0,,,,50.0,-9999.0,,,240.0,,,,82.0,,,,,7.0,-9999.0,-9999.0
188,2013,1,9,11,,,,60.0,,,,50.0,-9999.0,,,260.0,,,,98.0,,,,,7.0,-9999.0,-9999.0
189,2013,1,9,12,,,,60.0,,,,40.0,-9999.0,,,260.0,,,103.0,,,,,7.0,-9999.0,-9999.0,
190,2013,1,9,13,,,,60.0,,,,50.0,-9999.0,,,260.0,,,103.0,,,,,7.0,-9999.0,-9999.0,
191,2013,1,9,14,,,,60.0,,,,50.0,-9999.0,,,230.0,,,,98.0,,,,,7.0,-9999.0,-9999.0
192,2013,1,9,15,,,,60.0,,,,60.0,-9999.0,,,240.0,,,,93.0,,,,,7.0,-9999.0,-9999.0
193,2013,1,9,16,,,,70.0,,,,60.0,-9999.0,,,260.0,,,,77.0,,,,,7.0,-9999.0,-9999.0
194,2013,1,9,17,,,,70.0,,,,70.0,-9999.0,,,270.0,,,,41.0,,,,,7.0,-9999.0,-9999.0
195,2013,1,10,4,,,,50.0,,,,20.0,-9999.0,,,360.0,,,,67.0,,,,,7.0,-9999.0,-9999.0
196,2013,1,10,5,,,,50.0,,,,20.0,-9999.0,,,360.0,,,,67.0,,,,,7.0,-9999.0,-9999.0
197,2013,1,10,6,,,,50.0,,,,10.0,-9999.0,,,360.0,,,,46.0,,,,,7.0,-9999.0,-9999.0
198,2013,1,10,10,,,,50.0,,,,,0.0,-9999.0,-9999.0,,,,21.0,,,,,7.0,-9999.0,-9999.0,
199,2013,1,10,11,,,,60.0,,,-10.0,-9999.0,-9999.0,,,,36.0,,,,,7.0,-9999.0,-9999.0,,,
200,2013,1,10,14,,,,50.0,,,,10.0,-9999.0,,,150.0,,,,67.0,,,,,2.0,-9999.0,-9999.0
201,2013,1,10,15,,,,50.0,,,,10.0,-9999.0,,,150.0,,,,57.0,,,,,4.0,-9999.0,-9999.0
202,2013,1,10,16,,,,50.0,,,,30.0,-9999.0,,,150.0,,,,46.0,,,,,7.0,-9999.0,-9999.0
203,2013,1,10,18,,,,50.0,,,,20.0,-9999.0,,,190.0,,,,31.0,,,,,7.0,-9999.0,-9999.0
204,2013,1,10,19,,,,40.0,,,,20.0,-9999.0,-9999.0,,,,,5.0,,,,,7.0,-9999.0,-9999.0,
205,2013,1,10,21,,,,40.0,,,,30.0,-9999.0,,,190.0,,,,36.0,,,,,7.0,-9999.0,-9999.0
206,2013,1,10,22,,,,40.0,,,,20.0,-9999.0,,,250.0,,,,31.0,,,,,7.0,-9999.0,-9999.0
207,2013,1,10,23,,,,50.0,,,,20.0,-9999.0,,,240.0,,,,62.0,,,,,7.0,-9999.0,-9999.0
208,2013,1,11,0,,,,50.0,,,,20.0,-9999.0,,,260.0,,,,67.0,,,,,7.0,-9999.0,-9999.0
209,2013,1,11,1,,,,40.0,,,,20.0,-9999.0,,,250.0,,,,51.0,,,,,7.0,-9999.0,-9999.0
210,2013,1,11,2,,,,50.0,,,,30.0,-9999.0,,,240.0,,,,21.0,,,,,7.0,-9999.0,-9999.0
211,2013,1,11,7,,,,50.0,,,-10.0,-9999.0,,,230.0,,,,51.0,,,,,7.0,-9999.0,-9999.0,
212,2013,1,11,8,,,,50.0,,,-10.0,-9999.0,,,220.0,,,,46.0,,,,,7.0,-9999.0,-9999.0,
