,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
144,2015,1,7,5,,-342,-9999,-9999.0,,,,40.0,,,,57,-9999.0,-9999.0,-9999.0
145,2015,1,7,6,,-342,-9999,-9999.0,,,,50.0,,,,36,-9999.0,-9999.0,-9999.0
146,2015,1,7,7,,-342,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
147,2015,1,7,8,,-342,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
148,2015,1,7,9,,-342,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
149,2015,1,7,10,,-342,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
150,2015,1,7,11,,-342,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
151,2015,1,7,12,,-342,-9999,-9999.0,,,,40.0,,,,46,-9999.0,-9999.0,-9999.0
152,2015,1,7,13,,-342,-9999,-9999.0,,,,30.0,,,,36,-9999.0,-9999.0,-9999.0
153,2015,1,7,14,,-342,-9999,-9999.0,,,,40.0,,,,21,-9999.0,-9999.0,-9999.0
154,2015,1,7,15,,-342,-9999,-9999.0,,,,40.0,,,,21,-9999.0,-9999.0,-9999.0
155,2015,1,7,16,,-342,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
156,2015,1,7,17,,-342,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
157,2015,1,7,18,,-342,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
158,2015,1,7,19,,-342,-9999,-9999.0,,,,50.0,,,,36,-9999.0,-9999.0,-9999.0
159,2015,1,7,20,,-342,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
160,2015,1,7,21,,-342,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
161,2015,1,7,22,,-342,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
