,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
155,2006,1,23,8,,,277.0,,,234.0,10066.0,,,160.0,,,,31.0,-9999,-9999.0,-9999.0,
156,2006,1,23,11,,,276.0,,,229.0,10080.0,,,100.0,,,,46.0,-9999,-9999.0,-9999.0,
157,2006,1,23,14,,,264.0,,,235.0,10079.0,,,170.0,,,,15.0,-9999,-9999.0,-9999.0,
158,2006,1,23,17,,,250.0,,,233.0,10065.0,,,190.0,,,,26.0,-9999,-9999.0,-9999.0,
159,2006,1,23,20,,,243.0,,,230.0,10085.0,,,210.0,,,,26.0,-9999,-9999.0,-9999.0,
160,2006,1,23,23,,,298.0,,,227.0,10092.0,,,140.0,,,,26.0,-9999,-9999.0,-9999.0,
161,2006,1,24,2,,,312.0,,,221.0,10081.0,,,,70.0,,,,46,-9999.0,-9999.0,-9999.0
162,2006,1,24,5,,,305.0,,,221.0,10070.0,,,,70.0,,,,51,-9999.0,-9999.0,-9999.0
163,2006,1,24,8,,,290.0,,,224.0,10078.0,,,,70.0,,,,57,-9999.0,-9999.0,-9999.0
164,2006,1,24,11,,,278.0,,,224.0,10098.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
165,2006,1,24,14,,,273.0,,,231.0,10099.0,,,,40.0,,,,26,-9999.0,-9999.0,-9999.0
166,2006,1,24,17,,,250.0,,,229.0,10093.0,,,180.0,,,,21.0,-9999,-9999.0,-9999.0,
167,2006,1,24,20,,,252.0,,,228.0,10111.0,,,160.0,,,,21.0,-9999,-9999.0,-9999.0,
168,2006,1,24,23,,,290.0,,,243.0,10121.0,,,120.0,,,,51.0,-9999,-9999.0,-9999.0,
169,2006,1,25,2,,,310.0,,,240.0,10117.0,,,100.0,,,,67.0,-9999,-9999.0,-9999.0,
170,2006,1,25,5,,,310.0,,,243.0,10099.0,,,100.0,,,,98.0,-9999,-9999.0,-9999.0,
171,2006,1,25,8,,,282.0,,,222.0,10101.0,,,110.0,,,,93.0,-9999,-9999.0,-9999.0,
172,2006,1,25,11,,,279.0,,,203.0,10120.0,,,120.0,,,,82.0,-9999,-9999.0,-9999.0,
173,2006,1,25,14,,,257.0,,,202.0,10122.0,,,160.0,,,,26.0,-9999,-9999.0,-9999.0,
174,2006,1,25,20,,,246.0,,,190.0,10110.0,,,140.0,,,,36.0,-9999,-9999.0,-9999.0,
175,2006,1,25,23,,,272.0,,,205.0,10118.0,,,150.0,,,,46.0,-9999,-9999.0,-9999.0,
176,2006,1,26,2,,,301.0,,,209.0,10108.0,,,100.0,,,,87.0,-9999,-9999.0,-9999.0,
177,2006,1,26,5,,,296.0,,,196.0,10094.0,,,100.0,,,103.0,-9999.0,-9999,-9999.0,,
178,2006,1,26,8,,,279.0,,,197.0,10098.0,,,110.0,,,,82.0,-9999,-9999.0,-9999.0,
179,2006,1,26,11,,,272.0,,,192.0,10104.0,,,120.0,,,,82.0,-9999,-9999.0,-9999.0,
180,2006,1,26,14,,,246.0,,,209.0,10097.0,,,150.0,,,,31.0,-9999,-9999.0,-9999.0,
181,2006,1,26,20,,,234.0,,,211.0,10079.0,,,150.0,,,,26.0,-9999,-9999.0,-9999.0,
182,2006,1,26,23,,,279.0,,,206.0,10090.0,,,110.0,,,,51.0,-9999,-9999.0,-9999.0,
183,2006,1,27,2,,,297.0,,,194.0,10078.0,,,100.0,,,,82.0,-9999,-9999.0,-9999.0,
184,2006,1,27,5,,,291.0,,,198.0,10061.0,,,100.0,,,,87.0,-9999,-9999.0,-9999.0,
185,2006,1,27,8,,,280.0,,,208.0,10068.0,,,110.0,,,,62.0,-9999,-9999.0,-9999.0,
186,2006,1,27,11,,,261.0,,,213.0,10078.0,,,150.0,,,,36.0,-9999,-9999.0,-9999.0,
187,2006,1,27,14,,,236.0,,,224.0,10076.0,,,150.0,,,,31.0,-9999,-9999.0,-9999.0,
188,2006,1,27,20,,,226.0,,,219.0,10079.0,,,170.0,,,,26.0,-9999,-9999.0,-9999.0,
189,2006,1,27,23,,,262.0,,,217.0,10085.0,,,140.0,,,,57.0,-9999,-9999.0,-9999.0,
190,2006,1,28,2,,,283.0,,,208.0,10074.0,,,130.0,,,,67.0,-9999,-9999.0,-9999.0,
191,2006,1,28,5,,,300.0,,,199.0,10061.0,,,100.0,,,,82.0,-9999,-9999.0,-9999.0,
192,2006,1,28,8,,,280.0,,,198.0,10061.0,,,120.0,,,,67.0,-9999,-9999.0,-9999.0,
193,2006,1,28,11,,,267.0,,,211.0,10074.0,,,140.0,,,,51.0,-9999,-9999.0,-9999.0,
194,2006,1,28,14,,,226.0,,,213.0,10076.0,,,150.0,,,,31.0,-9999,-9999.0,-9999.0,
195,2006,1,28,20,,,236.0,,,191.0,10072.0,,,160.0,,,,31.0,-9999,-9999.0,-9999.0,
196,2006,1,28,23,,,275.0,,,191.0,10078.0,,,140.0,,,,67.0,-9999,-9999.0,-9999.0,
197,2006,1,29,2,,,299.0,,,182.0,10071.0,,,110.0,,,,72.0,-9999,-9999.0,-9999.0,
198,2006,1,29,5,,,297.0,,,184.0,10059.0,,,110.0,,,,87.0,-9999,-9999.0,-9999.0,
199,2006,1,29,8,,,287.0,,,192.0,10062.0,,,110.0,,,,72.0,-9999,-9999.0,-9999.0,
200,2006,1,29,11,,,267.0,,,182.0,10079.0,,,130.0,,,,67.0,-9999,-9999.0,-9999.0,
201,2006,1,29,14,,,252.0,,,191.0,10078.0,,,150.0,,,,36.0,-9999,-9999.0,-9999.0,
202,2006,1,29,17,,,243.0,,,191.0,10067.0,,,170.0,,,,31.0,-9999,-9999.0,-9999.0,
203,2006,1,29,20,,,235.0,,,190.0,10071.0,,,180.0,,,,21.0,-9999,-9999.0,-9999.0,
204,2006,1,29,23,,,277.0,,,176.0,10070.0,,,140.0,,,,46.0,-9999,-9999.0,-9999.0,
205,2006,1,30,2,,,299.0,,,177.0,10052.0,,,,70.0,,,,41,-9999.0,-9999.0,-9999.0
206,2006,1,30,5,,,295.0,,,185.0,10032.0,,,,70.0,,,,67,-9999.0,-9999.0,-9999.0
207,2006,1,30,8,,,284.0,,,199.0,10039.0,,,,90.0,,,,67,-9999.0,-9999.0,-9999.0
208,2006,1,30,11,,,268.0,,,210.0,10059.0,,,120.0,,,,46.0,-9999,-9999.0,-9999.0,
209,2006,1,30,14,,,247.0,,,200.0,10062.0,,,180.0,,,,21.0,-9999,-9999.0,-9999.0,
210,2006,1,30,17,,,229.0,,,198.0,10049.0,,,200.0,,,,21.0,-9999,-9999.0,-9999.0,
211,2006,1,30,20,,,219.0,,,188.0,10059.0,,,210.0,,,,21.0,-9999,-9999.0,-9999.0,
212,2006,1,30,23,,,278.0,,,185.0,10062.0,,,130.0,,,,36.0,-9999,-9999.0,-9999.0,
213,2006,1,31,2,,,307.0,,,193.0,10047.0,,,,80.0,,,,41,-9999.0,-9999.0,-9999.0
214,2006,1,31,5,,,300.0,,,214.0,10036.0,,,,80.0,,,,57,-9999.0,-9999.0,-9999.0
215,2006,1,31,8,,,289.0,,,223.0,10043.0,,,100.0,,,,72.0,-9999,-9999.0,-9999.0,
216,2006,1,31,11,,,272.0,,,215.0,10065.0,,,110.0,,,,72.0,-9999,-9999.0,-9999.0,
217,2006,1,31,14,,,253.0,,,206.0,10071.0,,,170.0,,,,21.0,-9999,-9999.0,-9999.0,
218,2006,1,31,17,,,235.0,,,202.0,10060.0,,,230.0,,,,15.0,-9999,-9999.0,-9999.0,
219,2006,1,31,20,,,239.0,,,204.0,10068.0,,,200.0,,,,21.0,-9999,-9999.0,-9999.0,
220,2006,2,1,2,,,311.0,,,213.0,10062.0,,,,70.0,,,,46,-9999.0,-9999.0,-9999.0
221,2006,2,1,5,,,302.0,,,215.0,10050.0,,,,70.0,,,,67,-9999.0,-9999.0,-9999.0
222,2006,2,1,8,,,290.0,,,222.0,10058.0,,,100.0,,,,62.0,-9999,-9999.0,-9999.0,
223,2006,2,1,11,,,277.0,,,227.0,10073.0,,,100.0,,,,41.0,-9999,-9999.0,-9999.0,
224,2006,2,1,14,,,261.0,,,230.0,10073.0,,,160.0,,,,26.0,-9999,-9999.0,-9999.0,
225,2006,2,1,17,,,247.0,,,225.0,10068.0,,,180.0,,,,,5,-9999.0,-9999.0,-9999.0
226,2006,2,1,20,,,241.0,,,218.0,10081.0,,,190.0,,,,26.0,-9999,-9999.0,-9999.0,
227,2006,2,1,23,,,281.0,,,202.0,10087.0,,,200.0,,,,31.0,-9999,-9999.0,-9999.0,
228,2006,2,2,2,,,309.0,,,208.0,10075.0,,,,60.0,,,,51,-9999.0,-9999.0,-9999.0
229,2006,2,2,5,,,302.0,,,210.0,10066.0,,,,70.0,,,,67,-9999.0,-9999.0,-9999.0
230,2006,2,2,8,,,290.0,,,219.0,10073.0,,,110.0,,,,67.0,-9999,-9999.0,-9999.0,
231,2006,2,2,11,,,276.0,,,225.0,10086.0,,,110.0,,,,62.0,-9999,-9999.0,-9999.0,
232,2006,2,2,14,,,262.0,,,222.0,10092.0,,,160.0,,,,31.0,-9999,-9999.0,-9999.0,
233,2006,2,2,17,,,249.0,,,213.0,10082.0,,,150.0,,,,31.0,-9999,-9999.0,-9999.0,
234,2006,2,2,20,,,246.0,,,215.0,10092.0,,,160.0,,,,36.0,-9999,-9999.0,-9999.0,
235,2006,2,2,23,,,289.0,,,205.0,10102.0,,,120.0,,,,62.0,-9999,-9999.0,-9999.0,
236,2006,2,3,2,,,311.0,,,211.0,10087.0,,,100.0,,,,67.0,-9999,-9999.0,-9999.0,
